tract_id,job_totals,gravity
24510010100,135837,177299.60153658062
24510010200,28482,34576.178297331426
24510010300,15276,19241.24946589528
24510010400,216889,269209.0391539785
24510010500,12078,15545.936021852536
24510020100,32500,42112.01472737414
24510020200,28167,37401.176295281526
24510020300,961950,1274894.5125288216
24510030100,111379,147817.88710011385
24510030200,1083875,1450024.474545926
24510040100,8177697,11030782.477945153
24510040200,1501542,2016109.112900799
24510060100,9135,11331.385684956565
24510060200,39900,49583.55592510108
24510060300,12480,15887.408877536413
24510060400,1777227,2287840.3669678215
24510070100,4472,5539.481595785895
24510070200,14520,18129.250916336125
24510070300,25397,31440.659911383103
24510070400,1557426,1983188.2869404252
24510080101,57715,70584.75662343639
24510080102,34196,41870.82175173826
24510080200,57770,71512.15187578133
24510080301,3638,4523.445091454099
24510080302,21185,26199.47534955042
24510080400,21390,26860.953187277668
24510080500,37206,45927.905124475044
24510080600,4674,5742.342277783747
24510080700,8064,10057.276183843775
24510080800,11250,14253.38933702244
24510090100,18944,22823.508371015898
24510090200,37682,45676.441926533524
24510090300,50880,60391.887309519094
24510090400,73424,90077.14987392355
24510090500,129312,158250.91346738086
24510090600,1710,2086.7004306525055
24510090700,1440,1650.8718486489759
24510090800,117712,141150.15558763838
24510090900,16764,20698.377943153693
24510100100,52555,63218.92852024923
24510100200,14399,18380.137494726834
24510100300,272916,350343.3638215228
24510110100,184986,237111.09392378843
24510110200,787617,905831.090350371
24510120100,29529,34331.18293544706
24510120201,41718,50589.64179630173
24510120202,968100,1166910.5497493
24510120300,67913,82345.05917730558
24510120400,23750,28809.66275565574
24510120500,115062,143647.92982225536
24510120600,348125,419628.8984367662
24510120700,542646,649541.5931454173
24510130100,6612,8124.834184139985
24510130200,10332,12613.676475850998
24510130300,37170,46170.348673258384
24510130400,59718,73365.84164387049
24510130600,179340,214081.42387540557
24510130700,247752,294956.2071678763
24510130803,10146,12067.81698531898
24510130804,123372,145306.61286843292
24510130805,10455,12579.666475703523
24510130806,59711,70491.44451991684
24510140100,142968,174276.21240689495
24510140200,38599,47818.59794972703
24510140300,27250,32988.00299121019
24510150100,28375,36088.22358375184
24510150200,8540,10642.353753298694
24510150300,19992,24165.19810536587
24510150400,119240,145563.85945783937
24510150500,287734,341971.57670196856
24510150600,39312,47921.07118099102
24510150701,24534,29261.573139833115
24510150702,5643,6818.3570009492
24510150800,32785,38675.07390674905
24510150900,3723,4358.113830835246
24510151000,2672,3404.254485384337
24510151100,16555,19020.31669244615
24510151200,12483,14767.74311023814
24510151300,24750,30176.30864718107
24510160100,3660,4795.268079603212
24510160200,6944,9203.17730565013
24510160300,36600,47536.020788553404
24510160400,7865,10161.875365336724
24510160500,49742,64097.53904618235
24510160600,28674,38231.00167817704
24510160700,19712,24594.506265151093
24510160801,5198,6550.852463670249
24510160802,2052,2599.0024497448294
24510170100,328476,430879.2884232804
24510170200,818370,1049866.3179560062
24510170300,10701,13859.066742890358
24510180300,93170,122836.32518741548
24510190100,20252,27016.23407619032
24510190200,9085,11718.8404091454
24510190300,15151,18648.264423954017
24510200100,128520,168642.19999938903
24510200200,51520,66893.85877296956
24510200300,6466,7859.058827858895
24510200400,11970,15129.4670093329
24510200500,85975,103720.49239675915
24510200600,70488,85064.56385797882
24510200701,21945,27069.056079508686
24510200702,4770,5922.860214474931
24510200800,38088,44809.445488422694
24510210100,481525,585067.9755393402
24510210200,383929,462128.18380188855
24510220100,1123080,1477027.3367536187
24510230100,92496,109841.49431200165
24510230200,61056,69660.36139989189
24510230300,147663,172337.57778085046
24510240100,195085,221489.75517030747
24510240200,190764,222556.76848565726
24510240300,29848,36025.429971148165
24510240400,136125,157514.72271189588
24510250101,8510,9742.912772129012
24510250102,13056,15250.452374775965
24510250103,267320,306807.91675755713
24510250203,13770,18882.168977524794
24510250204,1164,1484.3106556196753
24510250205,52992,62521.22783143525
24510250206,23436,28016.708577604648
24510250207,18837,22913.232504312924
24510250301,24759,28638.302131545748
24510250303,46647,53454.344273158575
24510250401,1788,2750.678833740751
24510250402,128,192.31390742807366
24510250500,18204,29300.444081887446
24510250600,15600,22314.928408053358
24510260101,4983,6183.438839504908
24510260102,3553,4393.481448200012
24510260201,51460,62058.90748132636
24510260202,9555,11317.138253364814
24510260203,12848,15372.953269304042
24510260301,13452,16304.94034386425
24510260302,19110,23292.941911488255
24510260303,67456,79270.69608242079
24510260401,17464,20172.772771981497
24510260402,22532,26808.11915771683
24510260403,16416,19155.33158586766
24510260404,500388,584283.0973856677
24510260501,902272,1098509.6564001832
24510260604,4020,4618.627844048994
24510260605,530208,599836.9463530179
24510260700,81549,104537.55010267565
24510260800,54096,67610.3084163144
24510260900,273343,343527.6437249423
24510261000,26852,33077.76114600951
24510261100,29859,37182.34965238511
24510270101,2108,2504.604691333677
24510270102,2752,3248.353131305074
24510270200,51240,61554.11950012513
24510270301,22607,26993.400128421832
24510270302,9129,11075.896676675282
24510270401,38416,46038.870807498206
24510270402,15429,18784.136677314134
24510270501,15903,19647.041370055933
24510270502,6698,8399.810391725983
24510270600,18480,22681.349535935442
24510270701,7279,9227.365575809958
24510270702,13320,16897.91020083877
24510270703,4275,5274.113792462881
24510270801,2325,2876.9400997864936
24510270802,11954,14256.937573168554
24510270803,101712,125411.68028272847
24510270804,3586,4370.054595619272
24510270805,23329,28272.57353167873
24510270901,9936,11781.436264705826
24510270902,150480,182469.795814041
24510270903,27255,33062.31224166694
24510271001,5544,6751.545119264604
24510271002,12936,15387.941863375563
24510271101,13520,16166.403305482967
24510271102,159978,190125.24657014958
24510271200,59826,72200.46759151628
24510271300,54756,66606.2490099754
24510271400,49302,58916.894186212165
24510271501,74620,88187.95627321911
24510271503,33855,40650.42068631635
24510271600,22050,26890.233169096868
24510271700,210766,269215.9831399897
24510271801,7310,9214.05229129148
24510271802,19055,23752.437695748125
24510271900,34496,43339.326723167054
24510272003,7038,9126.70492443735
24510272004,4440,5951.480417129185
24510272005,2912,3864.8147015944796
24510272006,11304,15154.656996480659
24510272007,17928,23451.429927453904
24510280101,87680,113095.40506987242
24510280102,150600,180784.2085115993
24510280200,6725,8068.964994267047
24510280301,8800,10016.247329484846
24510280302,720,838.8998760680423
24510280401,42333,51566.81702668425
24510280402,9660,11910.551805984864
24510280403,36108,41128.39285401264
24510280404,31030,38710.46080372274
24510280500,382440,483550.97814415506
24510280600,80375,107371.23723959706
