origin,dest,job_totals,start_lat,start_lon,end_lat,end_lon,Date,Time,minutes
24510150200,24510010100,2,39.3063661,-76.6480486,39.2786343,-76.5745793,11/01/2022,08:00AM,45.06666666666667
24510150600,24510010100,2,39.3090802,-76.6687936,39.2786343,-76.5745793,11/01/2022,08:00AM,45.88333333333333
24510150800,24510010100,3,39.3189672,-76.6778103,39.2786343,-76.5745793,11/01/2022,08:00AM,59.666666666666664
24510150900,24510010100,4,39.3142207,-76.6842999,39.2786343,-76.5745793,11/01/2022,08:00AM,63.2
24510151100,24510010100,4,39.3303769,-76.6723437,39.2786343,-76.5745793,11/01/2022,08:00AM,59.96666666666667
24510151200,24510010100,1,39.3310485,-76.6598579,39.2786343,-76.5745793,11/01/2022,08:00AM,53.75
24510151300,24510010100,2,39.3378526,-76.6661876,39.2786343,-76.5745793,11/01/2022,08:00AM,58.36666666666667
24510160100,24510010100,1,39.2980892,-76.6363266,39.2786343,-76.5745793,11/01/2022,08:00AM,41.45
24510160200,24510010100,1,39.298715,-76.6408488,39.2786343,-76.5745793,11/01/2022,08:00AM,39.8
24510160500,24510010100,1,39.2994113,-76.655509,39.2786343,-76.5745793,11/01/2022,08:00AM,52.95
24510160801,24510010100,1,39.298094,-76.6840558,39.2786343,-76.5745793,11/01/2022,08:00AM,57.733333333333334
24510160802,24510010100,1,39.3002221,-76.6796308,39.2786343,-76.5745793,11/01/2022,08:00AM,58.666666666666664
24510170100,24510010100,3,39.2971188,-76.6227994,39.2786343,-76.5745793,11/01/2022,08:00AM,36.916666666666664
24510190200,24510010100,3,39.2851695,-76.6401802,39.2786343,-76.5745793,11/01/2022,08:00AM,36.78333333333333
24510190300,24510010100,4,39.284217,-76.644491,39.2786343,-76.5745793,11/01/2022,08:00AM,42.266666666666666
24510200200,24510010100,2,39.2908711,-76.6588488,39.2786343,-76.5745793,11/01/2022,08:00AM,48.85
24510200500,24510010100,3,39.280538,-76.654003,39.2786343,-76.5745793,11/01/2022,08:00AM,45.13333333333333
24510200600,24510010100,3,39.284012,-76.6637324,39.2786343,-76.5745793,11/01/2022,08:00AM,56.15
