origin,dest,transit_time_current,transit_time_with_red_line
24510010100,24510010100,0.0,0.0
24510010100,24510010200,35.68221199,23.34855572
24510010100,24510010300,21.38617728,18.267613580000003
24510010100,24510010400,10.9371638,10.9371638
24510010100,24510010500,26.4807961,19.987782156
24510010100,24510020100,25.46344312,17.77994757
24510010100,24510020200,30.43728756,14.177748730000001
24510010100,24510020300,24.79346227,12.538598310000001
24510010100,24510030100,35.40223374,20.904229270000002
24510010100,24510030200,37.76299731,19.04395679
24510010100,24510040100,53.59208084,18.0483659
24510010100,24510040200,63.77120799,22.623862009999996
24510010100,24510060100,28.73435598,28.73435598
24510010100,24510060200,30.77533986,30.77533986
24510010100,24510060300,31.11248573,27.891024530000003
24510010100,24510060400,35.98319262,28.29969707
24510010100,24510070100,41.30658849,38.693917129
24510010100,24510070200,42.75906727,39.53760607
24510010100,24510070300,47.76443215,40.0809366
24510010100,24510070400,45.32781556,34.91700399
24510010100,24510080101,78.82888125,75.35893451
24510010100,24510080102,68.74844068,61.06494513
24510010100,24510080200,57.73139292,54.50993172
24510010100,24510080301,49.93062934,46.70916814
24510010100,24510080302,52.21760712,48.81355314
24510010100,24510080400,46.81353417,43.592072970000004
24510010100,24510080500,62.06497134,53.10947153000001
24510010100,24510080600,60.81900816,46.890059019999995
24510010100,24510080700,56.7471081,42.763966769999996
24510010100,24510080800,52.27222509,38.343275950000006
24510010100,24510090100,108.3749035,99.92739484
24510010100,24510090200,92.90613045,85.2226349
24510010100,24510090300,96.92999674,89.1564879
24510010100,24510090400,83.78507857,73.53272071
24510010100,24510090500,85.66717521,75.48048743999999
24510010100,24510090600,81.17823034,73.49473479
24510010100,24510090700,123.8499475,94.08048092000001
24510010100,24510090800,83.08860624,63.48177729
24510010100,24510090900,66.19574467,49.40105919
24510010100,24510100100,73.18934824,48.3643114
24510010100,24510100200,54.68614084,37.90630511
24510010100,24510100300,59.06228298,36.068375880000005
24510010100,24510110100,63.22345726,34.03580391
24510010100,24510110200,77.58759805,47.62234327
24510010100,24510120100,114.510906,106.73739714
24510010100,24510120201,97.41725174,77.01695871
24510010100,24510120202,103.9897393,72.22637588
24510010100,24510120300,91.38989559,64.16201065999999
24510010100,24510120400,84.56729058,54.81645434
24510010100,24510120500,73.32246533,46.05586219
24510010100,24510120600,90.59312167,58.82975821
24510010100,24510120700,95.22242836,62.7934718
24510010100,24510130100,99.27446103,54.51829128
24510010100,24510130200,88.49815527,56.07600044
24510010100,24510130300,96.70919363,47.56080562
24510010100,24510130400,108.0712069,54.726652259999994
24510010100,24510130600,112.1808125,79.81421465
24510010100,24510130700,125.0912382,94.57440806
24510010100,24510130803,136.1176933,104.94585128
24510010100,24510130804,121.8629098,91.59533363
24510010100,24510130805,159.8070475,110.77680749000001
24510010100,24510130806,160.297402,115.82206726999999
24510010100,24510140100,87.15032374,51.78963763
24510010100,24510140200,84.70952982,47.737688458
24510010100,24510140300,110.3160197,46.65195438
24510010100,24510150100,100.9595096,37.295444318
24510010100,24510150200,109.2960151,43.60149085
24510010100,24510150300,118.9463719,56.15976429999999
24510010100,24510150400,110.8515561,55.385531889999996
24510010100,24510150500,122.2952297,66.8292054
24510010100,24510150600,126.7270167,51.13801812999999
24510010100,24510150701,138.6593813,59.490410929999996
24510010100,24510150702,135.5843875,54.963358
24510010100,24510150800,148.6292647,67.49301484
24510010100,24510150900,147.6970012,67.07597177
24510010100,24510151000,211.4797499,141.21273838000002
24510010100,24510151100,163.2854748,82.14922498
24510010100,24510151200,132.0181448,78.23006602999999
24510010100,24510151300,146.731381,92.94330224000001
24510010100,24510160100,87.06089172,28.33755012
24510010100,24510160200,91.6225142,27.95844888
24510010100,24510160300,100.8284519,30.57352859
24510010100,24510160400,99.19094899,33.678621199999995
24510010100,24510160500,106.6380951,31.595816539999998
24510010100,24510160600,114.7129139,28.393533149999996
24510010100,24510160700,125.5618762,39.242495469999994
24510010100,24510160801,139.7911262,36.59650805
24510010100,24510160802,150.2180457,34.788243369999996
24510010100,24510170100,70.60739572,31.06742441
24510010100,24510170200,76.29674994,39.324908577
24510010100,24510170300,81.97854785,33.23294826
24510010100,24510180300,77.65771662,24.76789531
24510010100,24510190100,84.39139652,24.232819149999997
24510010100,24510190200,89.89051682,31.327646709999996
24510010100,24510190300,84.38172907,42.72317192
24510010100,24510200100,96.2003141,29.076224259999996
24510010100,24510200200,113.3971904,31.455577399999996
24510010100,24510200300,98.0023344,40.789511606
24510010100,24510200400,99.82371844,35.219660329999996
24510010100,24510200500,98.24876178,49.52559657
24510010100,24510200600,112.3078677,52.40376522
24510010100,24510200701,132.9817923,42.792828379999996
24510010100,24510200702,129.1221315,40.071543229999996
24510010100,24510200800,125.7394367,61.789643319999996
24510010100,24510210100,73.85285779,46.05766002
24510010100,24510210200,87.36092769,52.30602173
24510010100,24510220100,57.1599086,20.632168489999998
24510010100,24510230100,75.32869357,48.06139573
24510010100,24510230200,83.47180361,59.69206735
24510010100,24510230300,79.02038629,51.75332043
24510010100,24510240100,88.42023255,63.71865414
24510010100,24510240200,75.1925967,51.41286043
24510010100,24510240300,65.03456304,41.11667913
24510010100,24510240400,78.6505286,54.87079233
24510010100,24510250101,156.719484,77.16882446
24510010100,24510250102,145.8480874,68.06871765
24510010100,24510250103,132.9545175,79.24302026
24510010100,24510250203,129.4188896,100.26214649999999
24510010100,24510250204,126.4172811,97.26053801999998
24510010100,24510250205,113.0323147,85.23711687999999
24510010100,24510250206,167.4964259,111.66792717
24510010100,24510250207,113.648889,84.49214590999999
24510010100,24510250301,95.36624763,67.57104985999999
24510010100,24510250303,102.5481507,65.10566778
24510010100,24510250401,220.5346972,192.73949941
24510010100,24510250402,234.7933236,206.99812580999998
24510010100,24510250500,241.6633411,213.86814331
24510010100,24510250600,272.3424174,244.50972082
24510010100,24510260101,141.5364833,130.25978403
24510010100,24510260102,127.5938701,116.46541343
24510010100,24510260201,93.56015306,90.23185529
24510010100,24510260202,82.91192019,79.946920908
24510010100,24510260203,103.028082,95.36128344
24510010100,24510260301,74.69855036,71.73355108
24510010100,24510260302,70.53692978,67.15557719
24510010100,24510260303,85.88584352,79.1470437
24510010100,24510260401,73.329887,64.87590386
24510010100,24510260402,95.07806158,81.43156709
24510010100,24510260403,88.68458446,75.89223713
24510010100,24510260404,46.73521306,37.638983319999994
24510010100,24510260501,52.63465025,33.09494076
24510010100,24510260604,50.6267951,42.08476142
24510010100,24510260605,51.95002191,51.87014949
24510010100,24510260700,35.51563322,13.514526029999999
24510010100,24510260800,37.8819048,16.94293001
24510010100,24510260900,21.52931408,16.3475807
24510010100,24510261000,28.57474678,28.57474678
24510010100,24510261100,14.78489458,14.78489458
24510010100,24510270101,103.2015245,99.8732267
24510010100,24510270102,124.0972486,118.98258075999999
24510010100,24510270200,111.6040692,103.92057360000001
24510010100,24510270301,121.7369879,116.62232003000001
24510010100,24510270302,118.2881179,113.17345007
24510010100,24510270401,108.0967719,104.7684741
24510010100,24510270402,125.6908602,120.3170593
24510010100,24510270501,152.7221257,147.3483248
24510010100,24510270502,146.091676,140.687642
24510010100,24510270600,136.6007865,128.91729094
24510010100,24510270701,151.3743933,143.69089777
24510010100,24510270702,147.2868449,139.60334936
24510010100,24510270703,159.7422618,154.62759396
24510010100,24510270801,145.5399393,137.85644373
24510010100,24510270802,132.3933095,124.70981397
24510010100,24510270803,133.4192495,125.63312026999999
24510010100,24510270804,160.8267376,153.14324204
24510010100,24510270805,144.2576818,130.14729838
24510010100,24510270901,135.3108252,123.437429
