h_geocode,w_geocode,job_totals
24510010300,24510230300,1
24510010300,24510240100,11
24510010300,24510240300,1
24510010300,24510240400,8
24510010300,24510250102,2
24510010300,24510250103,4
24510010300,24510250203,3
24510010300,24510250204,1
24510010300,24510250206,6
24510010300,24510250303,1
24510010300,24510250401,1
24510010300,24510250500,7
24510010300,24510250600,3
24510010300,24510260101,1
24510010300,24510260303,1
24510010300,24510260404,7
24510010300,24510260501,23
24510010300,24510260605,31
24510010300,24510260700,2
24510010300,24510260800,1
24510010300,24510260900,11
24510010300,24510261100,6
24510010300,24510270401,1
24510010300,24510270702,1
24510010300,24510270803,3
24510010300,24510270903,1
24510010300,24510271102,7
24510010300,24510271200,6
24510010300,24510271400,4
24510010300,24510271501,8
24510010300,24510271503,3
24510010300,24510271700,8
24510010300,24510271802,1
24510010300,24510272007,1
24510010300,24510280101,1
24510010300,24510280102,5
24510010300,24510280401,1
24510010300,24510280402,1
24510010300,24510280500,4
24510010300,24510280600,1
24510010400,24510010100,5
24510010400,24510010400,39
24510010400,24510010500,4
24510010400,24510020300,54
24510010400,24510030100,3
24510010400,24510030200,34
24510010400,24510040100,125
24510010400,24510040200,24
24510010400,24510060200,3
24510010400,24510060400,64
24510010400,24510070400,79
24510010400,24510080101,2
24510010400,24510090100,1
24510010400,24510090200,2
24510010400,24510090300,1
24510010400,24510090500,3
24510010400,24510090900,1
24510010400,24510110100,8
24510010400,24510110200,20
24510010400,24510120202,28
24510010400,24510120300,2
24510010400,24510120500,2
24510010400,24510120600,3
24510010400,24510120700,5
24510010400,24510130400,1
24510010400,24510130600,6
24510010400,24510130700,6
24510010400,24510130804,10
24510010400,24510130806,14
24510010400,24510140100,1
24510010400,24510150300,1
24510010400,24510150600,1
24510010400,24510170100,1
24510010400,24510170200,5
24510010400,24510200500,1
24510010400,24510210100,9
24510010400,24510210200,6
24510010400,24510220100,25
24510010400,24510230100,4
24510010400,24510230200,1
24510010400,24510230300,4
24510010400,24510240100,29
24510010400,24510240200,4
24510010400,24510240400,12
24510010400,24510250103,10
24510010400,24510250203,3
24510010400,24510250206,1
24510010400,24510250207,2
24510010400,24510250303,1
24510010400,24510250500,1
24510010400,24510250600,2
24510010400,24510260301,1
24510010400,24510260303,2
24510010400,24510260401,1
24510010400,24510260403,1
24510010400,24510260404,7
24510010400,24510260501,21
24510010400,24510260605,28
24510010400,24510260800,2
24510010400,24510260900,11
24510010400,24510261100,1
24510010400,24510270200,1
24510010400,24510270401,1
24510010400,24510270402,2
24510010400,24510270803,4
24510010400,24510270902,7
24510010400,24510271102,5
24510010400,24510271200,2
24510010400,24510271300,3
24510010400,24510271400,2
24510010400,24510271501,6
24510010400,24510271503,4
24510010400,24510271700,12
24510010400,24510271802,1
24510010400,24510271900,2
24510010400,24510280101,2
24510010400,24510280102,1
24510010400,24510280200,1
24510010400,24510280301,1
24510010400,24510280500,3
24510010500,24510010100,5
24510010500,24510010300,4
24510010500,24510010400,10
24510010500,24510010500,3
24510010500,24510020100,2
24510010500,24510020200,3
24510010500,24510020300,44
24510010500,24510030200,25
24510010500,24510040100,76
24510010500,24510040200,20
24510010500,24510060200,4
24510010500,24510060300,3
24510010500,24510060400,51
24510010500,24510070200,2
24510010500,24510070400,63
24510010500,24510080101,3
24510010500,24510080200,2
24510010500,24510080400,1
24510010500,24510080500,3
24510010500,24510090400,2
24510010500,24510090500,4
24510010500,24510110100,2
24510010500,24510110200,12
24510010500,24510120202,33
24510010500,24510120500,4
24510010500,24510120600,8
24510010500,24510120700,1
24510010500,24510130600,1
24510010500,24510130700,4
24510010500,24510130804,4
24510010500,24510140100,2
24510010500,24510150400,1
24510010500,24510150500,2
24510010500,24510150600,1
24510010500,24510151000,1
24510010500,24510160500,1
24510010500,24510170100,1
24510010500,24510170200,4
24510010500,24510170300,3
24510010500,24510180300,1
24510010500,24510190100,1
24510010500,24510210100,7
24510010500,24510210200,2
24510010500,24510220100,10
24510010500,24510230100,4
24510010500,24510230200,1
24510010500,24510240100,5
24510010500,24510240200,1
