tract_id,job_totals,gravity
24510010100,44118,55152.45156856647
24510010200,6768,8055.103309082395
24510010300,5896,7540.890992356742
24510010400,87161,108504.61478013798
24510010500,5445,6995.169325893952
24510020100,14040,17959.42723706983
24510020200,13511,17215.23574723578
24510020300,461100,576032.0007035711
24510030100,58759,73733.25992134986
24510030200,598299,745989.8737711142
24510040100,5388405,6623481.340321659
24510040200,929526,1134568.642576347
24510060100,4437,5754.889513050462
24510060200,19250,24887.122076783944
24510060300,6032,7886.601293942325
24510060400,1011430,1288471.1168095097
24510070100,2408,3061.1334688675174
24510070200,7392,9569.742041261141
24510070300,12815,16257.996706800814
24510070400,873678,1120334.5877914883
24510080101,38024,45790.59537926667
24510080102,22244,27048.273080610106
24510080200,34980,43800.40635007234
24510080301,2074,2632.0003629588477
24510080302,12934,16138.62453170608
24510080400,12276,15754.905646491501
24510080500,21942,27373.93371532159
24510080600,2546,3185.9842683040224
24510080700,4608,5813.503069639853
24510080800,6390,8240.493009016072
24510090100,11840,14057.215507364093
24510090200,25878,30663.851616347838
24510090300,26712,32183.278260513962
24510090400,47302,57659.21429767289
24510090500,82167,99569.91652214492
24510090600,1188,1417.9435594473243
24510090700,512,617.6607713692443
24510090800,68315,81863.58181008989
24510090900,9372,11708.865156980848
24510100100,28791,34118.55109621893
24510100200,8687,10911.203564047782
24510100300,166782,208800.90399624966
24510110100,116154,143665.76250663833
24510110200,271008,306307.9463625363
24510120100,13317,15967.994053546652
24510120201,24540,29906.42016741887
24510120202,551817,671610.3035653115
24510120300,37863,46591.579489398595
24510120400,12920,15837.559720334677
24510120500,73386,89671.03289483207
24510120600,183810,225144.59027278668
24510120700,292194,356431.4002901443
24510130100,3534,4359.3669490573975
24510130200,5628,6908.53459400609
24510130300,20355,25152.401940756456
24510130400,30666,38038.416022078236
24510130600,102480,121414.83400701616
24510130700,134199,160790.9722901502
24510130803,5874,7023.105699972533
24510130804,66156,78185.45215269283
24510130805,5865,7164.929227250743
24510130806,32944,39284.096013407005
24510140100,75992,91879.13191141754
24510140200,21373,26229.24219848826
24510140300,11500,13964.986610630604
24510150100,13847,17426.73547242874
24510150200,3850,4889.105589397908
24510150300,10608,12690.8287545348
24510150400,61788,76211.10736391948
24510150500,146928,175942.65802182737
24510150600,16632,20523.253916945552
24510150701,9657,11868.863865302304
24510150702,2451,2988.759835103789
24510150800,12035,15076.66916384511
24510150900,1377,1683.7944317655217
24510151000,668,1336.0
24510151100,6930,8321.298899084368
24510151200,7011,8280.485825079151
24510151300,14850,18214.48642929913
24510160100,1740,2112.6250780390337
24510160200,3472,4382.056877761459
24510160300,15900,20088.95134257796
24510160400,3640,4648.59294720503
24510160500,18810,23366.79317063946
24510160600,12636,15549.493630581572
24510160700,7216,8669.731328329326
24510160801,1242,1532.9176679046366
24510160802,288,360.41936930224404
24510170100,227814,278755.8155860908
24510170200,539085,664144.2867320378
24510170300,6351,7768.994487959422
24510180300,47740,57681.901052046705
24510190100,10458,12715.428198490257
24510190200,3792,4544.658703803663
24510190300,7645,9356.062324553972
24510200100,59976,75422.18435534165
24510200200,21504,25901.698214035747
24510200300,2013,2385.7727339986095
24510200400,3990,4759.546358771995
24510200500,37105,45026.31025594864
24510200600,32472,39500.79468234686
24510200701,7315,8951.963501086926
24510200702,1170,1425.4387363491285
24510200800,13754,16840.340391611135
24510210100,233750,279627.1269204124
24510210200,202512,240219.0344248939
24510220100,439873,503439.81286691094
24510230100,41328,49003.32622391296
24510230200,17172,21250.151769600776
24510230300,49221,59086.62609838841
24510240100,46111,59947.82179066904
24510240200,61317,74965.15535197071
24510240300,12915,15283.690333097591
24510240400,39930,49659.24907152174
24510250101,2530,3190.7091614136352
24510250102,3840,4863.73805669582
24510250103,117360,137599.91498703655
24510250203,12240,16205.856223268791
24510250204,776,1013.7013169298282
24510250205,20736,26850.982694495386
24510250206,6696,10055.290974762216
24510250207,8190,10959.033948950315
24510250301,8646,10664.49244187635
24510250303,19053,22148.96099558115
24510250401,1788,2611.511936205474
24510250402,128,182.73895568158326
24510250500,18204,28073.17847151486
24510250600,15600,21074.273542210994
24510260101,1812,2673.6380287074476
24510260102,2299,2874.706879967713
24510260201,29880,36077.06569520829
24510260202,4998,6011.65610590965
24510260203,6716,8333.299973476587
24510260301,8319,10004.663733930305
