tract_id,job_totals,gravity
24510010100,3483,4834.245479123041
24510010200,564,936.1960951813855
24510010300,402,549.5003554874402
24510010400,4054,6398.512317110015
24510010500,495,672.830092286611
24510020100,1300,1672.3410944701152
24510020200,1145,1620.1727274949071
24510020300,39750,50910.491005203185
24510030100,5262,7075.75943282684
24510030200,34684,49425.078874118015
24510040100,126786,202316.41805899137
24510040200,47668,63663.32227804602
24510060100,522,695.2699806896371
24510060200,2450,3222.7190073724582
24510060300,832,1058.631019431067
24510060400,86694,111972.0053003245
24510070100,172,234.38398145399168
24510070200,924,1129.0008292031382
24510070300,699,990.7971102387538
24510070400,101296,125628.99412230354
24510080101,1358,2045.806299758905
24510080102,996,1361.62267247172
24510080200,1590,2228.574186341996
24510080301,136,202.76139225603026
24510080302,669,1003.6489758728162
24510080400,1488,1898.8348062399286
24510080500,954,1329.532302751848
24510080600,114,162.51631289770603
24510080700,320,432.1760736919174
24510080800,720,929.8013345919844
24510090100,888,1262.5103491275545
24510090200,908,1382.238950741767
24510090300,1272,2012.3697527767333
24510090400,2824,3876.7688941366982
24510090500,2694,4307.35040312091
24510090600,54,74.4890509844807
24510090700,32,64.0
24510090800,1051,2102.0
24510090900,264,396.17919383505136
24510100100,914,1381.4632694716781
24510100200,476,661.8972559202435
24510100300,8664,11775.62191931909
24510110100,7170,9011.757197348159
24510110200,8469,16938.0
24510120100,1158,1795.556748758284
24510120201,1227,1793.1081905671826
24510120202,38724,52128.50275692851
24510120300,3005,3995.6822541166475
24510120400,570,838.9877635712228
24510120500,2718,3855.778010870961
24510120600,11140,15857.872444955794
24510120700,13914,18826.01695805585
24510130100,171,251.08934120621706
24510130200,252,341.36652375675305
24510130300,1180,1635.6826495059956
24510130400,2152,2867.8152605763144
24510130600,2135,4270.0
24510130700,3441,6882.0
24510130803,356,535.2231460568669
24510130804,1788,3576.0
24510130805,255,510.0
24510130806,2059,4118.0
24510140100,2576,3951.705955936791
24510140200,638,1046.751120056712
24510140300,500,807.925888409002
24510150100,1589,2068.700254048916
24510150200,350,458.76206136287345
24510150300,408,651.3400894071647
24510150400,3252,4850.463164968181
24510150500,3061,6122.0
24510150600,1134,1629.179257272663
24510150701,783,1198.8376884725294
24510150702,228,331.3522402096844
24510150800,830,1252.0777325799236
24510150900,51,102.0
24510151000,668,1336.0
24510151100,385,770.0
24510151200,171,342.0
24510151300,900,1422.576106301233
