GoeID_Origin,GeoID_Destination,TransitTime (minutes),DriveDistance (miles),DriveTime (minutes),EclDistance(miles)
14000US24510270302,14000US24510250500,303.4807076,15.17403538,42.42414364,7.975674747
14000US24510250401,14000US24510151000,303.3642395,15.16821197,41.30788511,7.800281113
14000US24510270401,14000US24510250500,302.7260772,15.13630386,41.63864543,7.722938104
14000US24510272003,14000US24510250401,302.559691,15.12798455,42.90303584,9.600802888
14000US24510272007,14000US24510250401,302.5391095,15.12695547,40.10362717,10.10813334
14000US24510250500,14000US24510270301,302.5176352,15.12588176,40.99604153,8.121965007
14000US24510270101,14000US24510250500,301.9810149,15.09905075,42.52187948,7.283260825
14000US24510250500,14000US24510270401,301.2424236,15.06212118,40.47879838,7.722938104
14000US24510250401,14000US24510271501,300.7958529,15.03979264,41.49740109,9.155312235
14000US24510250500,14000US24510271503,300.6704641,15.03352321,40.996174,9.458360887
14000US24510250500,14000US24510270901,299.8125787,14.99062894,41.40513669,8.192096874
14000US24510250500,14000US24510271900,299.4592456,14.97296228,39.23692622,9.783824795
14000US24510250500,14000US24510271801,299.1898321,14.9594916,42.33841925,9.691869503
14000US24510270902,14000US24510250500,299.0912811,14.95456406,42.03329437,8.223982858
14000US24510151000,14000US24510250401,299.0791579,14.95395789,40.89044087,7.800281113
14000US24510250500,14000US24510270302,299.0687653,14.95343826,40.33555212,7.975674747
14000US24510260203,14000US24510250500,299.0279596,14.95139798,41.70885956,6.716352059
14000US24510250500,14000US24510271200,298.905824,14.9452912,40.17291625,9.219259462
14000US24510250500,14000US24510260402,298.4736019,14.9236801,40.7850765,6.264985675
14000US24510270600,14000US24510250401,298.2902896,14.91451448,42.55641295,8.524503463
14000US24510250402,14000US24510270102,298.0210765,14.90105382,41.34297161,7.733790151
14000US24510250402,14000US24510270805,297.954801,14.89774005,41.28080556,8.926951223
14000US24510271900,14000US24510250500,297.8662681,14.8933134,38.99340237,9.783824795
14000US24510250500,14000US24510270101,297.5453032,14.87726516,40.45041798,7.283260825
14000US24510271002,14000US24510250500,297.0878542,14.85439271,42.26719118,8.250177636
14000US24510250500,14000US24510260203,297.0078038,14.85039019,40.47877949,6.716352059
14000US24510250500,14000US24510280102,296.8130029,14.84065014,42.22039874,9.619845181
14000US24510250402,14000US24510270301,295.6608158,14.78304079,40.78057565,8.29599831
14000US24510270402,14000US24510250401,295.5713261,14.77856631,41.7771011,8.212670733
14000US24510250500,14000US24510270902,294.9136413,14.74568207,39.99005534,8.223982858
14000US24510250402,14000US24510270401,294.3856042,14.71928021,40.26333251,7.988629088
14000US24510250401,14000US24510272006,294.382648,14.7191324,39.00042214,9.638987648
14000US24510271801,14000US24510250500,294.3229272,14.71614636,38.8659409,9.691869503
