"","ct","FIPS","SPL_THEME1","RPL_THEME1","SPL_THEME2","RPL_THEME2","SPL_THEME3","RPL_THEME3","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_THEME1","F_THEME2","F_THEME3","F_THEME4","SummarySVIcat"
"38","24510180300",24510180300,1.4037,0.3249,0.97,0.132,0.3216,0.05025,1.5228,0.2843,4.2181,0.1472,1,0,0,1,1
"39","24510030200",24510030200,1.1497,0.2487,1.049,0.1472,0.2312,0.03518,2.4862,0.7513,4.9161,0.198,0,0,0,2,1
"40","24510270600",24510270600,1.2462,0.269,1.8058,0.3452,0.3266,0.05528,0.99069,0.08122,4.36929,0.1574,0,0,0,0,1
"41","24510270101",24510270101,1.0025,0.2081,2.1224,0.4772,0.2814,0.0402,1.0627,0.1117,4.469,0.1777,0,0,0,0,1
"42","24510130806",24510130806,0.76308,0.1523,1.5752,0.2538,0.8743,0.4121,2.374,0.6904,5.58658,0.264,0,0,0,1,2
"43","24510272004",24510272004,0.76447,0.1574,1.98538,0.3909,0.789,0.3518,1.8064,0.4315,5.34525,0.2386,0,1,0,1,1
"44","24510060400",24510060400,0.84011,0.1624,1.5212,0.2132,1.0151,0.5477,2.3423,0.6802,5.71871,0.2944,0,0,0,2,2
"45","24510120700",24510120700,1.4533,0.3553,0.6259,0.08122,0.7287,0.3116,2.4702,0.7411,5.2781,0.2234,1,0,0,0,1
"46","24510110200",24510110200,0.9981,0.203,1.09235,0.1523,0.7035,0.2864,2.9879,0.868,5.78185,0.3096,0,0,0,3,2
"47","24510270402",24510270402,1.03657,0.2183,2.4157,0.6904,0.3668,0.0603,0.9915,0.08629,4.81057,0.1878,0,1,0,0,1
"48","24510040200",24510040200,1.7004,0.4112,0.207931,0.01523,0.2965,0.04523,3.4005,0.9797,5.605331,0.269,1,0,0,3,2
"49","24510280403",24510280403,0.89596,0.1777,1.6679,0.2843,0.4623,0.1156,2.0634,0.5178,5.08956,0.2132,0,0,0,0,1
"50","24510120202",24510120202,2.07156,0.5178,0.08086,0,0.5277,0.1608,3.5649,0.9949,6.24502,0.3909,2,0,0,4,2
"51","24510130805",24510130805,1.4283,0.3452,1.93231,0.3706,0.4975,0.1508,1.4932,0.269,5.35131,0.2437,0,2,0,2,1
"52","24510080101",24510080101,1.3621,0.3096,2.0376,0.4112,0.3769,0.07538,1.0626,0.1066,4.8392,0.1929,0,2,0,0,1
"53","24510120100",24510120100,0.90825,0.1827,1.5302,0.2183,1.0754,0.5829,2.3169,0.6701,5.83075,0.3249,0,1,0,2,2
"54","24510280401",24510280401,1.1241,0.2386,1.8176,0.3503,0.4925,0.1457,1.6366,0.3401,5.0708,0.2081,0,0,0,0,1
"55","24510270903",24510270903,1.8728,0.4772,0.90649,0.1168,1.392,0.8543,1.32,0.198,5.49129,0.2589,1,0,0,1,2
"56","24510270401",24510270401,0.6729,0.1117,1.8924,0.3553,0.3819,0.0804,2.3884,0.7005,5.3356,0.2335,0,0,0,0,1
"57","24510270302",24510270302,1.2769,0.2893,1.5625,0.2386,0.7889,0.3417,1.6343,0.335,5.2626,0.2183,0,0,0,0,1
"58","24510090200",24510090200,0.9568,0.1929,1.7993,0.3401,0.4874,0.1357,2.16675,0.5736,5.41025,0.2538,0,0,0,0,2
"59","24510260102",24510260102,1.331,0.2995,1.7835,0.3299,1.2061,0.7387,0.9722,0.07614,5.2928,0.2284,0,0,0,0,1
"60","24510271101",24510271101,1.1404,0.2437,1.4338,0.198,1.0955,0.593,2.0439,0.5127,5.7136,0.2893,0,0,0,1,2
"61","24510270502",24510270502,1.059,0.2234,1.6326,0.269,0.9598,0.5025,1.7354,0.4112,5.3868,0.2487,0,0,0,0,1
"62","24510270702",24510270702,1.2603,0.2792,2.1627,0.4975,0.9246,0.4724,1.454,0.2487,5.8016,0.3147,0,1,0,0,2
"63","24510160801",24510160801,1.6815,0.401,2.4999,0.731,0.9698,0.5176,0.6775,0.02538,5.8287,0.3198,1,1,1,0,2
"64","24510270301",24510270301,1.0733,0.2335,1.7981,0.335,1.201,0.7236,1.78954,0.4264,5.86194,0.335,0,0,0,1,2
"65","24510120300",24510120300,1.7985,0.4315,0.96151,0.1269,0.809,0.3668,2.1353,0.5533,5.70431,0.2843,1,0,0,1,2
"66","24510150701",24510150701,1.6204,0.3858,2.1097,0.4569,0.6734,0.2663,1.2159,0.1371,5.6194,0.2741,0,0,0,1,2
"67","24510272005",24510272005,1.2568,0.2741,2.0979,0.4416,0.62813,0.2412,1.8763,0.4518,5.85913,0.3299,0,0,0,1,2
"68","24510150900",24510150900,1.8276,0.4467,1.665,0.2792,0.8794,0.4221,1.5648,0.2944,5.9368,0.3452,0,0,1,0,2
"69","24510270901",24510270901,1.2094,0.2589,1.7496,0.3096,0.7889,0.3467,1.919,0.4721,5.6669,0.2792,0,0,1,0,2
"70","24510270804",24510270804,0.9571,0.198,1.1962,0.1726,1.3015,0.804,2.3194,0.6751,5.7742,0.3046,0,0,1,0,2
"71","24510270701",24510270701,2.0301,0.5127,1.3891,0.1878,0.8593,0.392,1.6784,0.3655,5.9569,0.3503,1,1,1,1,2
"72","24510200702",24510200702,2.2979,0.5838,2.7428,0.8376,0.8442,0.3819,0.5279,0.01015,6.4128,0.4162,2,1,1,1,2
"73","24510060300",24510060300,1.2052,0.2538,1.16765,0.1624,1.1407,0.6432,2.4793,0.7462,5.99285,0.3553,0,0,0,0,2
"74","24510270805",24510270805,1.6214,0.3909,2.2371,0.5228,1.0904,0.5879,0.8103,0.04061,5.7592,0.2995,1,0,0,0,2
"75","24510280402",24510280402,1.9949,0.5025,2.1289,0.4822,0.9799,0.5327,0.9123,0.06599,6.016,0.3604,1,0,1,0,2
"76","24510280302",24510280302,1.5041,0.3706,2.1702,0.5025,0.7286,0.3015,1.6179,0.3198,6.0208,0.3655,0,1,1,1,2
"77","24510272003",24510272003,1.018,0.2132,2.3071,0.599,0.9045,0.4472,1.6457,0.3452,5.8753,0.3401,0,1,0,0,2
"78","24510260403",24510260403,1.9492,0.4924,2.3965,0.6548,0.5879,0.201,1.4025,0.2284,6.3361,0.401,2,2,0,1,2
"79","24510271900",24510271900,1.5547,0.3756,2.0906,0.4365,0.7789,0.3266,1.6615,0.3553,6.0857,0.3706,0,1,0,0,2
"80","24510120500",24510120500,1.3682,0.3147,0.9981,0.1371,1.0452,0.5578,3.116,0.9086,6.5275,0.4264,0,0,0,3,2
"81","24510260700",24510260700,1.69897,0.4061,1.56506,0.2437,1.2915,0.794,1.6194,0.3249,6.17493,0.3858,1,0,1,1,2
"82","24510120400",24510120400,2.1224,0.5279,1.7817,0.3249,0.4422,0.1055,2.0216,0.4975,6.3679,0.4061,1,1,0,1,2
"83","24510150702",24510150702,2.1375,0.5431,2.651,0.802,0.9095,0.4573,1.0948,0.1269,6.7928,0.4619,2,1,1,0,2
"84","24510210100",24510210100,1.783,0.4264,1.4909,0.2081,0.7538,0.3166,2.228,0.6041,6.2557,0.3959,1,0,0,0,2
"85","24510270802",24510270802,1.4939,0.3655,2.4245,0.6954,1.387,0.8492,1.0913,0.1218,6.3967,0.4112,0,1,1,1,2
"86","24510270102",24510270102,1.6649,0.3959,2.1984,0.5127,0.8894,0.4322,1.3437,0.2183,6.0964,0.3756,0,1,0,0,2
"87","24510280301",24510280301,1.4226,0.3401,2.3615,0.6294,0.5879,0.201,2.2823,0.6497,6.6543,0.4365,1,1,0,1,2
"88","24510170100",24510170100,1.7613,0.4213,1.7644,0.3147,0.3869,0.08543,3.0486,0.8883,6.9612,0.4721,1,1,0,2,2
"89","24510260101",24510260101,1.3866,0.3198,2.1166,0.4619,0.8643,0.402,1.72949,0.3959,6.09699,0.3807,0,0,0,0,2
"90","24510280200",24510280200,1.986,0.4975,2.4015,0.6599,0.7186,0.2965,1.5697,0.3046,6.6758,0.4416,1,2,1,0,2
"91","24510140100",24510140100,1.4038,0.3299,1.40585,0.1929,1.1005,0.598,2.8612,0.8274,6.77135,0.4569,0,1,0,2,2
"92","24510170300",24510170300,2.6839,0.6701,2.5745,0.7563,0.8794,0.4221,1.4548,0.2538,7.5926,0.5482,3,1,1,1,3
"93","24510260201",24510260201,1.32529,0.2944,1.1692,0.1675,1.4724,0.9095,3.2314,0.9289,7.19829,0.4975,1,0,1,3,2
"94","24510260303",24510260303,2.9831,0.7766,2.2804,0.5736,0.9095,0.4573,1.3526,0.2234,7.5256,0.5279,3,1,0,1,3
"95","24510280102",24510280102,1.7012,0.4162,2.413,0.6802,0.804,0.3568,1.5648,0.2944,6.483,0.4213,0,1,1,1,2
"96","24510250102",24510250102,2.156,0.5584,2.4436,0.7056,1.5527,0.9497,0.616,0.0203,6.7683,0.4467,1,1,0,0,2
"97","24510150300",24510150300,2.5417,0.6447,2.0306,0.4061,1.6482,0.9849,1.235,0.1472,7.4555,0.5228,2,1,1,0,3
"98","24510200200",24510200200,2.8819,0.7411,2.9645,0.9289,0.6985,0.2764,1.2453,0.1574,7.7902,0.5939,3,1,0,1,3
"99","24510130200",24510130200,1.468,0.3604,2.4776,0.7157,1.1608,0.6583,1.6924,0.3756,6.7988,0.467,0,1,0,0,2
"100","24510160500",24510160500,2.7031,0.6802,2.8808,0.9036,0.9899,0.5377,1.3131,0.1929,7.8869,0.6091,3,2,1,1,3
"101","24510270801",24510270801,1.5907,0.3807,1.7789,0.3198,1.1256,0.6332,2.1573,0.5635,6.6525,0.4315,0,0,0,0,2
"102","24510270902",24510270902,1.8128,0.4365,2.0288,0.401,0.6884,0.2714,2.4424,0.7208,6.9724,0.4772,2,0,0,1,2
"103","24510160100",24510160100,2.8042,0.7157,2.8108,0.868,0.8241,0.3769,1.6579,0.3503,8.097,0.6447,3,1,1,1,3
"104","24510190200",24510190200,2.7593,0.6954,2.1042,0.4467,1.3969,0.8643,1.3099,0.1878,7.5703,0.5381,3,1,0,1,3
"105","24510090100",24510090100,2.1924,0.5685,2.0745,0.4315,0.8744,0.4171,2.0315,0.5025,7.1728,0.4924,2,0,0,1,2
"106","24510090600",24510090600,3.2403,0.8629,2.1833,0.5076,0.5678,0.1859,1.6996,0.3807,7.691,0.5685,4,0,0,1,3
"107","24510060200",24510060200,1.9294,0.4873,1.55441,0.2335,1.2161,0.7487,2.0688,0.5279,6.76871,0.4518,1,0,0,1,2
"108","24510270803",24510270803,1.35141,0.3046,2.2552,0.5431,1.0603,0.5628,2.4567,0.731,7.12361,0.4873,0,0,0,1,2
"109","24510260301",24510260301,2.7953,0.7107,2.2592,0.5635,0.6281,0.2362,1.895,0.4619,7.5776,0.5431,3,2,0,1,3
"110","24510200600",24510200600,2.6935,0.6751,2.2831,0.5838,1.0352,0.5528,1.7071,0.3858,7.7189,0.5787,2,1,0,0,3
"111","24510150500",24510150500,2.9165,0.7513,2.385,0.6497,0.8945,0.4422,2.0674,0.5228,8.2634,0.6802,4,1,1,1,3
"112","24510080800",24510080800,3.2609,0.8782,2.48715,0.7259,1.1809,0.7035,1.3389,0.2132,8.26785,0.6853,3,2,0,1,3
"113","24510250203",24510250203,1.857,0.467,2.8573,0.8934,1.191,0.7186,1.4984,0.2741,7.4037,0.5076,1,2,0,1,3
"114","24510090700",24510090700,3.2861,0.8883,2.7264,0.8325,1.3819,0.8392,1.2749,0.1777,8.6693,0.736,4,1,1,1,3
"115","24510090800",24510090800,3.4936,0.9391,2.3223,0.6041,0.8543,0.3869,1.8318,0.4416,8.502,0.7056,4,0,1,1,3
"116","24510160700",24510160700,2.8764,0.736,2.5766,0.7614,0.9548,0.4874,1.6094,0.3096,8.0172,0.6345,3,1,1,1,3
"117","24510150200",24510150200,3.2098,0.8528,2.5455,0.7462,0.9899,0.5377,1.6146,0.3147,8.3598,0.6954,4,1,1,2,3
"118","24510150800",24510150800,2.1379,0.5482,2.3613,0.6244,0.9196,0.4673,2.1816,0.5888,7.6004,0.5533,2,0,1,1,3
"119","24510210200",24510210200,2.4612,0.6345,2.119,0.467,1.2513,0.7789,1.8158,0.4365,7.6473,0.5584,3,1,0,1,3
"120","24510060100",24510060100,2.2031,0.5787,2.27261,0.5685,1.392,0.8543,1.5472,0.2893,7.41491,0.5178,1,1,0,1,3
"121","24510250101",24510250101,1.2155,0.264,2.409,0.6751,0.5477,0.1709,2.8765,0.8325,7.0487,0.4822,0,1,0,0,2
"122","24510260203",24510260203,1.8543,0.4619,2.2807,0.5787,1.1106,0.6181,2.1593,0.5685,7.4049,0.5127,1,1,1,0,3
"123","24510250303",24510250303,2.9363,0.7563,2.0696,0.4213,1.1608,0.6583,1.7243,0.3909,7.891,0.6142,4,0,0,1,3
"124","24510090500",24510090500,1.833,0.4569,2.241,0.533,1.1658,0.6683,1.9891,0.4924,7.2289,0.5025,1,1,0,0,3
"125","24510080500",24510080500,3.0383,0.802,2.8251,0.8731,1.6985,0.995,1.2708,0.1675,8.8327,0.7766,4,2,1,1,4
"126","24510130100",24510130100,2.1985,0.5736,2.1076,0.4518,0.9648,0.5075,2.9686,0.8528,8.2395,0.6751,1,1,0,2,3
"127","24510260800",24510260800,1.9275,0.4822,1.9627,0.3807,1.2713,0.7839,2.407,0.7056,7.5685,0.533,1,0,1,2,3
"128","24510261000",24510261000,2.5309,0.6396,2.2525,0.5381,1.2965,0.799,1.6776,0.3604,7.7575,0.5888,2,1,1,0,3
"129","24510080700",24510080700,2.543,0.6548,1.8991,0.3604,1.5176,0.9397,2.6012,0.7919,8.5609,0.7157,3,0,1,1,3
"130","24510080102",24510080102,3.3522,0.9086,2.2238,0.5178,0.7789,0.3266,2.4598,0.736,8.8147,0.7665,4,1,1,1,4
"131","24510271002",24510271002,2.7861,0.7056,2.9956,0.9391,1.1156,0.6281,1.0232,0.09645,7.9205,0.6193,3,0,1,0,3
"132","24510140300",24510140300,2.1413,0.5533,3.097,0.9695,0.6985,0.2764,2.2739,0.6396,8.2107,0.6701,1,2,0,1,3
"133","24510260302",24510260302,3.0639,0.8122,2.458,0.7107,1.4974,0.9196,1.6201,0.3299,8.6394,0.731,3,1,1,1,3
"134","24510250500",24510250500,2.9765,0.7716,2.377,0.6396,1.1105,0.608,1.6897,0.3706,8.1537,0.6548,4,1,0,1,3
"135","24510090300",24510090300,2.3248,0.5939,2.3445,0.6142,1.2312,0.7688,2.2331,0.6142,8.1336,0.6497,2,1,0,1,3
"136","24510200100",24510200100,3.17439,0.8376,2.5286,0.736,0.8593,0.392,2.1433,0.5584,8.70559,0.7462,3,1,1,1,3
"137","24510260202",24510260202,2.1312,0.5381,1.5741,0.2487,1.5075,0.9347,2.4867,0.7563,7.6995,0.5736,2,0,0,0,3
"138","24510280101",24510280101,2.0066,0.5076,2.1208,0.4721,1.4522,0.9045,2.1755,0.5838,7.7551,0.5838,2,0,1,1,3
"139","24510250103",24510250103,2.1302,0.533,2.3608,0.6193,0.7186,0.2915,3.1704,0.9188,8.38,0.7005,1,2,0,2,3
"140","24510260604",24510260604,3.44335,0.9239,2.923,0.9137,1.3367,0.8191,1.3341,0.203,9.03715,0.802,3,3,0,1,4
"141","24510151100",24510151100,1.8642,0.4721,2.6424,0.7919,1.603,0.9648,1.7324,0.4061,7.842,0.599,1,2,1,0,3
"142","24510250301",24510250301,3.5646,0.9543,2.9431,0.9188,1.3467,0.8241,1.2179,0.1421,9.0723,0.8173,4,3,0,1,4
"143","24510250401",24510250401,2.7284,0.6904,2.0739,0.4264,1.1758,0.6935,1.9494,0.4822,7.9275,0.6244,4,1,0,1,3
"144","24510140200",24510140200,3.08719,0.8274,2.8259,0.8782,0.6583,0.2613,2.3856,0.6954,8.95699,0.7868,3,2,0,1,4
"145","24510250205",24510250205,2.4247,0.6244,2.36361,0.6345,1.3517,0.8291,1.5215,0.2792,7.66151,0.5635,2,1,1,0,3
"146","24510200500",24510200500,2.8693,0.731,2.3838,0.6447,1.397,0.8693,2.0849,0.533,8.735,0.7563,3,1,1,1,4
"147","24510200400",24510200400,3.50345,0.9442,2.6444,0.797,0.7286,0.3015,2.0978,0.5431,8.97425,0.7919,4,2,1,1,4
"148","24510160400",24510160400,3.2103,0.8579,2.8725,0.8985,0.8894,0.4322,2.0382,0.5076,9.0104,0.797,3,2,1,2,4
"149","24510080200",24510080200,3.1288,0.8325,2.4392,0.7005,1.216,0.7437,2.2806,0.6447,9.0646,0.8071,4,1,0,1,4
"150","24510260404",24510260404,2.5898,0.6599,1.97296,0.3858,1.4322,0.8945,2.2979,0.665,8.29286,0.6904,3,2,1,2,3
"151","24510160802",24510160802,2.1615,0.5635,3.0507,0.9645,0.9397,0.4824,1.8989,0.467,8.0508,0.6396,2,2,1,1,3
"152","24510272006",24510272006,1.453,0.3503,2.8476,0.8883,1.1458,0.6482,2.5046,0.7614,7.951,0.6294,0,2,0,2,3
"153","24510271802",24510271802,3.00124,0.7817,2.8359,0.8832,0.9246,0.4724,2.4394,0.7157,9.20114,0.8477,3,1,1,1,4
"154","24510120600",24510120600,2.2985,0.5888,1.68338,0.2893,1.2814,0.7889,3.2693,0.9442,8.53258,0.7107,2,0,0,3,3
"155","24510080302",24510080302,2.7245,0.6853,2.9638,0.9239,1.6432,0.9749,1.439,0.2437,8.7705,0.7614,3,2,1,1,4
"156","24510160600",24510160600,2.0856,0.5228,2.4816,0.7208,1.1909,0.7136,2.8105,0.8223,8.5686,0.7208,2,1,1,2,3
"157","24510090900",24510090900,2.95149,0.7665,3.11,0.9746,0.6382,0.2513,2.2401,0.6193,8.93979,0.7817,2,2,0,1,4
"158","24510030100",24510030100,3.3074,0.8985,2.2572,0.5533,0.5276,0.1558,2.9994,0.8731,9.0916,0.8274,3,1,0,1,4
"159","24510130300",24510130300,2.7803,0.7005,2.5946,0.7716,1.1658,0.6683,2.1686,0.5787,8.7093,0.7513,3,2,0,2,4
"160","24510250204",24510250204,3.6558,0.9746,3.0092,0.9492,0.804,0.3568,2.2861,0.6548,9.7551,0.8934,4,3,1,1,4
