ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
24,MARYLAND,MD,24003,Anne Arundel,24003702702,"Census Tract 7027.02, Anne Arundel County, Maryland",5.170773351194,3573,260,1670,85,1442,106,52,44,35,34,80246,9623,47,45,1058,96,777,104,301,93,27,33,504,420,16,49,22,37,0,12,35,44,29,38,0,12,1.5,1.2,2.0,1.9,80246.0,9623.0,1.7,1.7,29.6,3.1,21.7,2.4,8.4,2.8,1.9,2.3,14.1,11.7,0.5,1.4,1.3,2.3,0.0,1.9,2.4,3.1,2.0,2.6,0.0,0.3,0.0462,0.073,0.0339,0.0497,0.2028,0.0079,0.9748,0.4496,0.2977,0.0605,1.7826,0.3273,0.165,0.2968,0.4618,0.1931,0.3199,0.0,0.6844,0.2204,0.0,1.2247,0.1756,3.6719,0.0462,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19,22,0.5,0.6,3982
24,MARYLAND,MD,24033,Prince George's,24033801310,"Census Tract 8013.10, Prince George's County, Maryland",9.769309947514,6186,317,2209,98,2176,99,109,84,158,107,49997,5081,156,84,846,109,1181,162,688,216,112,71,5273,389,0,68,0,24,0,17,17,31,30,37,0,17,1.8,1.4,4.3,2.9,49997.0,5081.0,3.5,1.9,13.7,1.7,19.1,2.4,11.1,3.4,5.1,3.3,85.2,4.5,0.0,1.2,0.0,1.1,0.0,1.5,0.8,1.5,1.4,1.7,0.0,0.3,0.0592,0.3822,0.2053,0.1599,0.8066,0.1395,0.4517,0.2478,0.5448,0.304,1.5483,0.185,0.786,0.0,0.786,0.3566,0.0,0.0,0.3869,0.1452,0.0,0.5321,0.0368,3.673,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,142,4.2,2.2,2080
24,MARYLAND,MD,24005,Baltimore,24005410100,"Census Tract 4101, Baltimore County, Maryland",36.170916058662,5592,347,2159,64,2007,93,130,94,73,60,63783,6432,60,49,990,132,1495,193,280,118,74,60,350,490,0,68,0,24,34,56,0,24,12,20,29,22,2.3,1.7,2.6,2.1,63783.0,6432.0,1.6,1.3,17.7,2.8,26.7,3.0,5.0,2.1,3.7,3.0,6.3,8.8,0.0,1.3,0.0,1.1,1.6,2.6,0.0,1.2,0.6,1.0,0.5,0.4,0.0975,0.1272,0.0807,0.0461,0.3515,0.0275,0.6967,0.8228,0.0462,0.1837,1.7494,0.3056,0.0483,0.0,0.0483,0.0231,0.0,0.8223,0.0,0.0564,0.6455,1.5242,0.2608,3.6734,0.0477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0.9,0.9,3295
24,MARYLAND,MD,24031,Montgomery,24031706013,"Census Tract 7060.13, Montgomery County, Maryland",1.59025182097,2917,153,1021,20,975,44,67,54,44,29,95693,11422,60,33,553,45,781,76,177,59,14,14,988,236,69,56,0,17,0,12,7,16,7,10,0,12,2.3,1.9,3.2,2.1,95693.0,11422.0,3.1,1.7,19.0,1.5,26.8,2.2,6.1,1.9,1.4,1.4,33.9,7.9,2.5,2.0,0.0,1.7,0.0,3.1,0.7,1.7,0.7,1.0,0.0,0.4,0.0975,0.2095,0.0166,0.1376,0.4612,0.0499,0.7673,0.8278,0.1091,0.0339,1.7381,0.2977,0.4143,0.6455,1.0598,0.5396,0.0,0.0,0.3581,0.0679,0.0,0.426,0.026,3.6851,0.0484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,69,2.9,2.4,6761
24,MARYLAND,MD,24035,Queen Anne's,24035810901,"Census Tract 8109.01, Queen Anne's County, Maryland",10.493111042488,5289,299,2234,67,1960,110,166,83,70,45,51820,4959,162,69,835,109,1265,145,397,115,103,56,654,426,13,69,0,24,56,39,0,24,7,11,0,17,3.1,1.5,2.5,1.6,51820.0,4959.0,4.3,1.9,15.8,2.1,23.9,2.4,7.5,2.1,5.3,2.9,12.4,8.0,0.3,1.4,0.0,1.1,2.5,1.8,0.0,1.2,0.4,0.5,0.0,0.3,0.159,0.1149,0.178,0.2147,0.6666,0.0983,0.5836,0.6455,0.2182,0.3206,1.7679,0.3186,0.1448,0.2133,0.3581,0.1441,0.0,0.8627,0.0,0.0383,0.0,0.901,0.1012,3.6936,0.0491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,61,2.0,1.1,4099
24,MARYLAND,MD,24003,Anne Arundel,24003702209,"Census Tract 7022.09, Anne Arundel County, Maryland",0.840418956952,4386,233,1476,42,1454,53,93,74,60,38,58104,5422,77,66,294,102,1263,142,214,71,99,43,958,370,17,48,25,22,22,34,0,17,21,33,0,12,2.1,1.7,2.3,1.4,58104.0,5422.0,2.7,2.3,6.7,2.4,28.8,2.9,4.9,1.6,6.8,2.9,21.8,8.4,0.4,1.2,1.7,1.5,1.5,2.3,0.0,1.2,1.4,2.3,0.0,0.3,0.0838,0.0983,0.1153,0.1102,0.4076,0.0376,0.0793,0.9099,0.0397,0.4229,1.4518,0.1452,0.2846,0.2601,0.5447,0.237,0.3437,0.8165,0.0,0.1452,0.0,1.3054,0.1973,3.7095,0.0499,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,89,56,2.0,1.2,2004
24,MARYLAND,MD,24025,Harford,24025301105,"Census Tract 3011.05, Harford County, Maryland",0.686382405746,3837,228,1365,77,1342,88,330,185,41,40,38664,4308,133,73,441,73,883,71,252,86,119,66,441,372,0,48,0,17,0,12,15,25,22,24,0,12,8.6,4.8,1.7,1.7,38664.0,4308.0,5.2,2.7,11.5,1.7,23.0,1.2,6.6,2.2,8.9,4.9,11.5,9.7,0.0,1.3,0.0,1.2,0.0,2.3,1.1,1.9,1.6,1.8,0.0,0.3,0.5513,0.047,0.4589,0.2831,1.3403,0.3027,0.3084,0.5627,0.1503,0.5756,1.597,0.2146,0.1347,0.0,0.1347,0.0468,0.0,0.0,0.4705,0.1763,0.0,0.6468,0.0535,3.7188,0.0506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,73,3.6,1.9,1951
24,MARYLAND,MD,24031,Montgomery,24031700828,"Census Tract 7008.28, Montgomery County, Maryland",0.489098183418,2242,135,873,28,850,33,67,36,55,30,77941,9228,59,30,303,37,499,57,111,38,30,19,756,174,60,53,119,33,0,12,0,17,11,12,0,12,3.0,1.6,4.2,2.3,77941.0,9228.0,3.8,1.9,13.5,1.6,22.3,2.2,5.0,1.7,3.5,2.2,33.7,7.5,2.8,2.5,13.6,3.8,0.0,3.7,0.0,2.0,1.3,1.4,0.0,0.5,0.1517,0.3642,0.0375,0.1751,0.7285,0.1142,0.4402,0.4986,0.0462,0.1686,1.1536,0.0499,0.4085,0.6736,1.0821,0.554,0.6297,0.0,0.0,0.1329,0.0,0.7626,0.0723,3.7268,0.0513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0.5,0.6,896
24,MARYLAND,MD,24005,Baltimore,24005491000,"Census Tract 4910, Baltimore County, Maryland",0.479577680302,2271,125,798,14,784,19,48,47,44,29,62239,5792,25,19,397,69,644,55,135,59,40,27,201,177,0,48,0,17,0,12,0,17,23,27,67,75,2.2,2.2,3.4,2.3,62239.0,5792.0,1.6,1.2,17.5,2.6,28.4,1.8,6.1,2.7,5.1,3.5,8.9,7.8,0.0,2.2,0.0,2.1,0.0,4.0,0.0,2.2,2.9,3.4,3.0,3.3,0.0882,0.2399,0.0901,0.0461,0.4643,0.0506,0.6837,0.8941,0.1091,0.304,1.9909,0.5029,0.0879,0.0,0.0879,0.036,0.0,0.0,0.0,0.3186,0.871,1.1896,0.1626,3.7327,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,0.9,1.0,1535
24,MARYLAND,MD,24510,Baltimore City,24510010100,"Census Tract 101, Baltimore city, Maryland",0.151814534196,3022,214,1636,49,1398,98,124,94,10,15,63832,6143,113,79,406,103,243,58,202,70,45,35,459,286,6,48,141,62,0,12,0,17,94,38,155,124,4.3,3.1,0.5,0.7,63832.0,6143.0,4.2,2.9,13.4,3.1,8.0,1.8,7.1,2.4,3.2,2.5,15.2,9.4,0.2,1.7,8.6,3.8,0.0,2.0,0.0,1.2,6.7,2.6,5.1,4.1,0.2522,0.0029,0.0793,0.2061,0.5405,0.0672,0.4316,0.0202,0.1842,0.1477,0.7837,0.0224,0.188,0.1765,0.3645,0.1477,0.5403,0.0,0.0,0.5788,0.9258,2.0449,0.44,3.7336,0.0527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,21,26,0.7,0.9,2088
