USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24003730509	2850146	0	1.1	0.	39.1172646	-76.6126917                                                                                                                                                  
MD	24003730510	1636231	0	0.632	0.	39.1217611	-76.6231698                                                                                                                                                
MD	24003730511	397744	0	0.154	0.	39.1389062	-76.6299532                                                                                                                                                 
MD	24003730512	852901	0	0.329	0.	39.1302015	-76.6275732                                                                                                                                                 
MD	24003730513	550462	0	0.213	0.	39.1246253	-76.635292                                                                                                                                                  
MD	24003730514	521191	0	0.201	0.	39.1308179	-76.6354304                                                                                                                                                 
MD	24003730601	8249463	453014	3.185	0.175	39.0992558	-76.6125962                                                                                                                                        
MD	24003730603	6409686	3175	2.475	0.001	39.104881	-76.5850585                                                                                                                                           
MD	24003730605	3124530	13296	1.206	0.005	39.0860093	-76.5626359                                                                                                                                         
MD	24003730606	4089361	255666	1.579	0.099	39.0876124	-76.5854594                                                                                                                                        
MD	24003730701	3209006	2670560	1.239	1.031	39.0533281	-76.5366194                                                                                                                                       
MD	24003730702	3666581	1887938	1.416	0.729	39.0728244	-76.5674308                                                                                                                                       
MD	24003730800	7406575	2892838	2.86	1.117	39.033487	-76.5202821                                                                                                                                         
MD	24003730901	9123854	4281825	3.523	1.653	38.998981	-76.47178                                                                                                                                          
MD	24003730902	15485423	4955957	5.979	1.914	39.0072068	-76.4432215                                                                                                                                      
MD	24003731002	7574623	3342523	2.925	1.291	39.0291487	-76.4152462                                                                                                                                       
MD	24003731003	3188432	1225329	1.231	0.473	39.0442342	-76.4413282                                                                                                                                       
MD	24003731004	1862215	103850	0.719	0.04	39.0488108	-76.4521535                                                                                                                                         
MD	24003731103	8562084	0	3.306	0.	39.0343178	-76.4946333                                                                                                                                                
MD	24003731104	2456644	675384	0.949	0.261	39.0574102	-76.496011                                                                                                                                         
MD	24003731105	2726536	953327	1.053	0.368	39.0688644	-76.5027325                                                                                                                                        
MD	24003731106	2693447	104883	1.04	0.04	39.0437081	-76.4771306                                                                                                                                          
MD	24003731107	4569887	2495919	1.764	0.964	39.0563016	-76.47295                                                                                                                                         
MD	24003731201	5272763	1322333	2.036	0.511	39.0661752	-76.5238577                                                                                                                                       
MD	24003731205	7753055	643267	2.993	0.248	39.1022306	-76.5149391                                                                                                                                        
MD	24003731206	8906941	8354912	3.439	3.226	39.0873767	-76.4791077                                                                                                                                       
MD	24003731207	3273550	360390	1.264	0.139	39.0921257	-76.5467396                                                                                                                                        
MD	24003731208	4881103	200748	1.885	0.078	39.1055529	-76.5518689                                                                                                                                        
MD	24003731209	7021038	19032	2.711	0.007	39.1279202	-76.569685                                                                                                                                          
