trip_id,arrival_time,departure_time,stop_id,stop_sequence
9,06:09:33,06:09:33,2,3
9,06:11:56,06:11:56,17,4
9,06:16:53,06:16:53,3,5
9,06:23:10,06:23:10,4,6
9,06:25:40,06:25:40,5,7
9,06:27:34,06:27:34,6,8
9,06:29:51,06:29:51,7,9
9,06:32:08,06:32:08,8,10
9,06:33:42,06:33:42,9,11
9,06:35:30,06:35:30,10,12
9,06:38:22,06:38:22,11,13
9,06:40:58,06:40:58,12,14
9,06:43:46,06:43:46,18,15
9,06:45:52,06:45:52,13,16
9,06:48:28,06:48:28,14,17
9,06:52:31,06:52:31,16,18
9,06:54:15,06:54:15,15,19
10,06:12:00,06:12:00,0,1
10,06:13:57,06:13:57,1,2
10,06:17:33,06:17:33,2,3
10,06:19:56,06:19:56,17,4
10,06:24:53,06:24:53,3,5
10,06:31:10,06:31:10,4,6
10,06:33:40,06:33:40,5,7
10,06:35:34,06:35:34,6,8
10,06:37:51,06:37:51,7,9
10,06:40:08,06:40:08,8,10
10,06:41:42,06:41:42,9,11
10,06:43:30,06:43:30,10,12
10,06:46:22,06:46:22,11,13
10,06:48:58,06:48:58,12,14
10,06:51:46,06:51:46,18,15
10,06:53:52,06:53:52,13,16
10,06:56:28,06:56:28,14,17
10,07:00:31,07:00:31,16,18
10,07:02:15,07:02:15,15,19
11,06:20:00,06:20:00,0,1
11,06:21:57,06:21:57,1,2
11,06:25:33,06:25:33,2,3
11,06:27:56,06:27:56,17,4
11,06:32:53,06:32:53,3,5
11,06:39:10,06:39:10,4,6
11,06:41:40,06:41:40,5,7
11,06:43:34,06:43:34,6,8
11,06:45:51,06:45:51,7,9
11,06:48:08,06:48:08,8,10
11,06:49:42,06:49:42,9,11
11,06:51:30,06:51:30,10,12
11,06:54:22,06:54:22,11,13
11,06:56:58,06:56:58,12,14
11,06:59:46,06:59:46,18,15
11,07:01:52,07:01:52,13,16
11,07:04:28,07:04:28,14,17
11,07:08:31,07:08:31,16,18
11,07:10:15,07:10:15,15,19
12,06:28:00,06:28:00,0,1
12,06:29:57,06:29:57,1,2
12,06:33:33,06:33:33,2,3
12,06:35:56,06:35:56,17,4
12,06:40:53,06:40:53,3,5
12,06:47:10,06:47:10,4,6
12,06:49:40,06:49:40,5,7
12,06:51:34,06:51:34,6,8
12,06:53:51,06:53:51,7,9
12,06:56:08,06:56:08,8,10
12,06:57:42,06:57:42,9,11
12,06:59:30,06:59:30,10,12
12,07:02:22,07:02:22,11,13
12,07:04:58,07:04:58,12,14
12,07:07:46,07:07:46,18,15
12,07:09:52,07:09:52,13,16
12,07:12:28,07:12:28,14,17
12,07:16:31,07:16:31,16,18
12,07:18:15,07:18:15,15,19
13,06:36:00,06:36:00,0,1
13,06:37:57,06:37:57,1,2
13,06:41:33,06:41:33,2,3
13,06:43:56,06:43:56,17,4
13,06:48:53,06:48:53,3,5
13,06:55:10,06:55:10,4,6
13,06:57:40,06:57:40,5,7
13,06:59:34,06:59:34,6,8
13,07:01:51,07:01:51,7,9
13,07:04:08,07:04:08,8,10
13,07:05:42,07:05:42,9,11
13,07:07:30,07:07:30,10,12
13,07:10:22,07:10:22,11,13
13,07:12:58,07:12:58,12,14
13,07:15:46,07:15:46,18,15
13,07:17:52,07:17:52,13,16
13,07:20:28,07:20:28,14,17
13,07:24:31,07:24:31,16,18
13,07:26:15,07:26:15,15,19
14,06:44:00,06:44:00,0,1
14,06:45:57,06:45:57,1,2
14,06:49:33,06:49:33,2,3
14,06:51:56,06:51:56,17,4
14,06:56:53,06:56:53,3,5
14,07:03:10,07:03:10,4,6
14,07:05:40,07:05:40,5,7
14,07:07:34,07:07:34,6,8
14,07:09:51,07:09:51,7,9
14,07:12:08,07:12:08,8,10
14,07:13:42,07:13:42,9,11
14,07:15:30,07:15:30,10,12
14,07:18:22,07:18:22,11,13
14,07:20:58,07:20:58,12,14
14,07:23:46,07:23:46,18,15
14,07:25:52,07:25:52,13,16
14,07:28:28,07:28:28,14,17
14,07:32:31,07:32:31,16,18
14,07:34:15,07:34:15,15,19
15,06:52:00,06:52:00,0,1
15,06:53:57,06:53:57,1,2
15,06:57:33,06:57:33,2,3
15,06:59:56,06:59:56,17,4
15,07:04:53,07:04:53,3,5
15,07:11:10,07:11:10,4,6
15,07:13:40,07:13:40,5,7
15,07:15:34,07:15:34,6,8
15,07:17:51,07:17:51,7,9
15,07:20:08,07:20:08,8,10
15,07:21:42,07:21:42,9,11
15,07:23:30,07:23:30,10,12
15,07:26:22,07:26:22,11,13
15,07:28:58,07:28:58,12,14
15,07:31:46,07:31:46,18,15
15,07:33:52,07:33:52,13,16
15,07:36:28,07:36:28,14,17
15,07:40:31,07:40:31,16,18
15,07:42:15,07:42:15,15,19
16,07:00:00,07:00:00,0,1
16,07:01:57,07:01:57,1,2
16,07:05:33,07:05:33,2,3
16,07:07:56,07:07:56,17,4
16,07:12:53,07:12:53,3,5
16,07:19:10,07:19:10,4,6
16,07:21:40,07:21:40,5,7
16,07:23:34,07:23:34,6,8
16,07:25:51,07:25:51,7,9
16,07:28:08,07:28:08,8,10
16,07:29:42,07:29:42,9,11
16,07:31:30,07:31:30,10,12
16,07:34:22,07:34:22,11,13
16,07:36:58,07:36:58,12,14
16,07:39:46,07:39:46,18,15
16,07:41:52,07:41:52,13,16
16,07:44:28,07:44:28,14,17
16,07:48:31,07:48:31,16,18
16,07:50:15,07:50:15,15,19
17,07:08:00,07:08:00,0,1
17,07:09:57,07:09:57,1,2
17,07:13:33,07:13:33,2,3
17,07:15:56,07:15:56,17,4
17,07:20:53,07:20:53,3,5
17,07:27:10,07:27:10,4,6
17,07:29:40,07:29:40,5,7
17,07:31:34,07:31:34,6,8
17,07:33:51,07:33:51,7,9
17,07:36:08,07:36:08,8,10
17,07:37:42,07:37:42,9,11
17,07:39:30,07:39:30,10,12
17,07:42:22,07:42:22,11,13
17,07:44:58,07:44:58,12,14
17,07:47:46,07:47:46,18,15
17,07:49:52,07:49:52,13,16
17,07:52:28,07:52:28,14,17
17,07:56:31,07:56:31,16,18
17,07:58:15,07:58:15,15,19
18,07:16:00,07:16:00,0,1
18,07:17:57,07:17:57,1,2
18,07:21:33,07:21:33,2,3
18,07:23:56,07:23:56,17,4
18,07:28:53,07:28:53,3,5
18,07:35:10,07:35:10,4,6
18,07:37:40,07:37:40,5,7
18,07:39:34,07:39:34,6,8
18,07:41:51,07:41:51,7,9
18,07:44:08,07:44:08,8,10
